slug,name,gecko_id,latest_outstanding_loans,selected
ajna-v2,Ajna V2,ajna-protocol,119590.0,no
udonfi-lending,UdonFi Lending,,115838.0,no
apebank,ApeBank,,113592.0,no
mahalend,MahaLend,,112609.0,no
keom-protocol,Keom Protocol,,106946.0,no
omm,Omm,omm-tokens,104763.0,no
meso-finance,Meso Finance,meso-finance,101886.0,no
hyperyield,HyperYield,,101804.0,no
lore-finance,Lore Finance,,100591.0,no
increment-lending,Increment Lending,,94396.0,no
aave-v1,Aave V1,aave,94022.0,no
orbiter-one,Orbiter One,,90992.0,no
harbor-market,Harbor Market,harbor-3,87460.0,no
syno-finance,SYNO Finance,synonym-finance,86812.0,no
jet-v1,Jet V1,jet,82650.0,no
puzzle-lend,Puzzle Lend,puzzle-swap,81957.0,no
vicuna-lending,Vicuna Lending,,72075.0,no
nusa,Nusa,nusa-finance,70390.0,no
reax-lending,Reax Lending,,68851.0,no
green-planet,Green Planet,planet-finance,66581.0,no
apeswap-lending,ApeSwap Lending,abond,64082.0,no
bastion,Bastion,bastion-protocol,60517.0,no
uwu-lend,UwU Lend,uwu-lend,60311.0,no
percentme,Percentme,,55579.0,no
lucky-peaches,Lucky Peaches,,54981.0,no
forlend,forlend,,53086.0,no
machfi,MachFi,,52540.0,no
whitehole-finance,Whitehole Finance,,51592.0,no
sorta-finance,Sorta Finance,,48605.0,no
midas-capital,Midas Capital,,48281.0,no
iolend,IOLEND,iolend,46821.0,no
nostra-money-market-alpha,Nostra Money Market Alpha,nostra,44078.0,no
cog,Cog,,43235.0,no
impermax-v3,Impermax V3,impermax-2,41809.0,no
wild-credit,Wild Credit,wild-credit,41667.0,no
minterest,Minterest,minterest,40020.0,no
hana-finance,Hana Finance,,36932.0,no
edel,Edel,edel,35749.0,no
ambit-finance,Ambit Finance,ambit-finance,35105.0,no
shadex,ShadeX,silk-bcec1136-561c-4706-a42c-8b67d0d7f7d2,32614.0,no
aso-finance,Aso Finance,aso-finance,32522.0,no
iloop,ILoop,,32009.0,no
ion-protocol,Ion Protocol,,31756.0,no
orcadao,OrcaDAO,orcadao,30521.0,no
levvy-for-tokens,Levvy for Tokens,,29436.0,no
fringe-v2,Fringe V2,fringe-finance,27410.0,no
takotako,TakoTako,,27302.0,no
sio2-finance,SiO2 Finance,,26963.0,no
liquidops,LiquidOps,liquidops,25809.0,no
sendit,Sendit,,24750.0,no
supralend,Supralend,,24317.0,no
blend-pools,Blend Pools,,23724.0,no
aptin-finance-v1,Aptin Finance V1,,23502.0,no
peridot,Peridot,,21937.0,no
siennalend,SiennaLend,sienna,20895.0,no
rhombus-protocol,Rhombus Protocol,,19914.0,no
trava-finance,Trava Finance,trava-finance,19598.0,no
jiblend,JIBLEND,,18389.0,no
magnify-cash,Magnify Cash,magnify-cash,18335.0,no
ghost,Ghost,kujira,17994.0,no
beta-finance-v1,Beta Finance V1,beta-finance,17848.0,no
