slug,name,gecko_id,latest_outstanding_loans,selected
kokomo-finance,Kokomo Finance,,1006.0,no
grace,Grace,,924.0,no
ilend-v2,iLend V2,,913.0,no
hashstack,Hashstack,,884.0,no
mage-finance,Mage Finance,,748.0,no
glyph,Glyph,,736.0,no
seismic,Seismic,,514.0,no
fuji-v2,Fuji V2,,512.0,no
fringe-v1,Fringe V1,,492.0,no
trustin-finance,Trustin Finance,,403.0,no
kilolend,KiloLend,,346.0,no
bencufi,BencuFi,,343.0,no
0xlend,0xLend,,340.0,no
tashi,Tashi,tashi,330.0,no
nyke-finance,Nyke Finance,,276.0,no
unlockd-v2,Unlockd V2,,262.0,no
monolend,MonoLend,monolend,250.0,no
lendlord,LendLord,,245.0,no
friendly-market,Friendly Market,,219.0,no
nebula-lending,Nebula Lending,,216.0,no
commodo,Commodo,,155.0,no
avalon-usdalend,Avalon USDaLend,,123.0,no
joltify-lend,Joltify Lend,,104.0,no
zoro-protocol,Zoro Protocol,,103.0,no
haven1-hlend,Haven1 hLend,,99.0,no
bitfire,BitFire,,74.0,no
floe-labs,Floe Labs,,71.0,no
liqee,Liqee,,64.0,no
quokkalend,QuokkaLend,,60.0,no
ajna-v1,Ajna V1,,58.0,no
dforce-lending,dForce Lending,,30.0,no
aimstrong,AImstrong,,26.0,no
novation,Novation,,22.0,no
nearlend-dao,Nearlend DAO,nearlend-dao,16.0,no
jolt,Jolt,,15.0,no
kawa-finance,Kawa Finance,,12.0,no
l2finance,L2FINANCE,,12.0,no
unlockd-v1,Unlockd V1,,10.0,no
dahlia,Dahlia,,10.0,no
tropykus-zkevm,Tropykus zkEVM,,10.0,no
brainiac-finance,Brainiac Finance,,8.0,no
pholend,PhoLend,,2.0,no
hyperloan,HyperLoan,,1.0,no
ionic-protocol,Ionic Protocol,ionic-protocol,0.0,no
scream,Scream,scream,0.0,no
larix,Larix,larix,0.0,no
dtrinity-dlend,dTRINITY dLEND,,0.0,no
impermax-v2,Impermax V2,,0.0,no
hadouken-lend,Hadouken Lend,,0.0,no
orbit-protocol,Orbit Protocol,orbit-protocol,0.0,no
ironclad-finance,Ironclad Finance,,0.0,no
astrol,Astrol,,0.0,no
geist-finance,Geist Finance,geist-finance,0.0,no
fountain-protocol,Fountain Protocol,fountain-protocol,0.0,no
percent-finance,Percent Finance,percent,0.0,no
sturdy-v1,Sturdy V1,,0.0,no
aloe,Aloe,,0.0,no
aave-arc,Aave Arc,,0.0,no
oxygen,Oxygen,oxygen,0.0,no
w3bank,w3bank,,0.0,no
enclabs,Enclabs,,0.0,no
onyx-protocol,Onyx Protocol,,0.0,no
mimas-finance,Mimas Finance,mimas,0.0,no
rocifi-v1,RociFi V1,,0.0,no
gloop,Gloop,,0.0,no
ooki,Ooki,ooki,0.0,no
aquarius-loan,Aquarius Loan,aquarius-loan,0.0,no
